url,name
/person/masefele-rosalia-morutoa/,Masefele Rosalia Morutoa
/person/itumeleng-mosala/,Itumeleng Mosala
/person/sejamotopo-charles-motau/,Sejamotopo Charles Motau
/person/pebane-george-moteka/,Pebane George Moteka
/person/madipoane-refiloe-moremadi-mothapo/,Madipoane Refiloe Moremadi Mothapo
/person/malusi-stanley-motimele/,Malusi Stanley Motimele
/person/mathole-serofo-motshekga/,Mathole Serofo Motshekga
/person/matsie-angelina-motshekga/,Angie Motshekga
/person/pakishe-aaron-motsoaledi/,Aaron Motsoaledi
/person/seropane-senyane-alton-mphethi/,Seropane Senyane Alton Mphethi
/person/alfred-mkhipheni-mpontshane/,Alfred Mkhipheni Mpontshane
/person/loyiso-khanyisa-bunye-mpumlwana/,Loyiso Khanyisa Bunye Mpumlwana
/person/veronica-zanele-msibi/,Zanele kaMagwaza-Msibi
/person/jackson-mphikwa-mthembu/,Jackson Mphikwa Mthembu
/person/nokukhanya-mthembu/,Nokukhanya Mthembu
/person/enock-muzi-mthethwa/,Enock Muzi Mthethwa
/person/emmanuel-nkosinathi-mthethwa/,Nathi Mthethwa
/person/kenneth-sililo-mubu/,Kenneth Sililo Mubu
/person/abram-molefe-mudau/,Abram Molefe Mudau
/person/thilivhali-elphus-mulaudzi/,Thilivhali Elphus Mulaudzi
/person/pieter-willem-adriaan-mulder/,Pieter Willem Adriaan Mulder
/person/cornelius-petrus-mulder/,Cornelius Petrus Mulder
/person/azwihangwisi-faith-muthambi/,Faith Muthambi
/person/mamagase-elleck-nchabeleng/,Mamagase Elleck Nchabeleng
/person/stella-tembisa-ndabeni-abrahams/,Stella Ndabeni-Abrahams
/person/mbuyiseni-quintin-ndlozi/,Mbuyiseni Quintin Ndlozi
/person/nokuzola-ndongeni/,Nokuzola Ndongeni
/person/andries-carl-nel/,Andries Nel
/person/nhlanhla-musa-nene/,Nhlanhla Nene
/person/bonisile-nesi/,Bonisile Alfred Nesi
/person/beatrice-thembekile-ngcobo/,Beatrice Thembekile Ngcobo
/person/phumuzile-catherine-ngwenya-mabila/,Phumuzile Catherine Ngwenya-Mabila
/person/mogotle-friddah-nkadimeng/,Mogotle Friddah Nkadimeng
/person/hlakudi-frans-nkoana/,Hlakudi Frans Nkoana
/person/maite-emily-nkoana-mashabane/,Maite Nkoana-Mashabane
/person/sibongile-judith-nkomo/,Sibongile Judith Nkomo
/person/gugile-ernest-nkwinti/,Gugile Nkwinti
/person/girly-namhla-nobanda/,Girly Namhla Nobanda
/person/ndaba-nonhlanhla/,Claudia Nonhlanhla Ndaba
/person/ntombovuyo-veronica-nqweniso/,Ntombovuyo Veronica Nqweniso
/person/pumza-ntobongwana/,Pumza Ntobongwana
/person/madala-louis-david-ntombela/,Madala Louis David Ntombela
/person/lulama-maxwell-ntshayisa/,Lulama Maxwell Ntshayisa
/person/nosipho-dorothy-ntwanambi/,Nosipho Dorothy Ntwanambi
/person/thembelani-waltermade-nxesi/,Thulas Nxesi
/person/raesibe-eunice-nyalungu/,Raesibe Eunice Nyalungu
/person/bonginkosi-emmanuel-nzimande/,Bonginkosi “Blade” Nzimande
/person/mildred-nelisiwe-oliphant/,Mildred Oliphant
/person/gaolatlhe-godfrey-oliphant/,Godfrey Oliphant
/person/ian-michael-ollis/,Ian Michael Ollis
/person/belinda-van-onselen/,Belinda Van Onselen
/person/gerhardus-cornelius-oosthuizen/,Gert Oosthuizen
/person/grace-naledi-mandisa-pandor/,Naledi Pandor
/person/ebrahim-patel/,Ebrahim Patel
/person/chueu-patricia/,Mamonare Patricia Chueu
/person/elizabeth-dipuo-peters/,Dipuo Peters
/person/mathume-joseph-phaahla/,Joe Phaahla
/person/yvonne-nkwenkwezi-phosa/,Yvonne Nkwenkwezi Phosa
/person/imamile-aubin-pikinini/,Imamile Aubin Pikinini
/person/makgathatso-charlotte-chana-pilane-majake/,Makgathatso Charlotte Chana Pilane-Majake
/person/molapi-andries-plouamma/,Molapi Andries Tlouamma
/person/agnes-noluthando-daphne-qikani/,Agnes Daphne Noluthando Qikani
/person/mponeng-winston-rabotapi/,Mponeng Winston Rabotapi
/person/bhekiziswe-abram-radebe/,Bhekizizwe Abram Radebe
/person/goodwill-sbusiso-radebe/,Goodwill Sbusiso Radebe
/person/jeffrey-thamsanqa-radebe/,Jeff Radebe
/person/strike-michael-ralegoma/,Strike Michael Ralegoma
/person/ramakaudi-paul-ramakatsa/,Ramakaudi Paul Ramakatsa
/person/matamela-cyril-ramaphosa/,Cyril Ramaphosa
/person/ngoako-abel-ramatlhodi/,Ngoako Abel Ramatlhodi
/person/tete-ramalie-jonas-ezekiel-ramokhoase/,Tete Ramalie Jonas Ezekiel Ramokhoase
/person/daphne-zukiswa-rantho/,Daphne Zukiswa Rantho
/person/deborah-dineo-raphuti/,Deborah Dineo Raphuti
/person/marius-helenis-redelinghuys/,Marius Helenis Redelinghuys
/person/denise-robinson/,Denise Robinson
/person/david-douglas-van-rooyen/,David Douglas Des Van Rooyen
/person/ms-semenya-machwene-rosinah/,Machwene Rosina Semenya
/person/david-christie-ross/,David Christie Ross
/person/marthinus-christoffel-johannes-van-schalkwyk/,Marthinus Christoffel Johannes Van Schalkwyk
/person/sharome-renay-van-schalkwyk/,Sharome Renay Van Schalkwyk
/person/m-scheepers/,Maureen Angela Scheepers
/person/hendrik-cornelius-schmidt/,Hendrik Cornelus Schmidt
/person/james-selfe/,James Selfe
/person/cornelia-carol-september/,Cornelia Carol September
/person/mmoba-solomon-seshoka/,Mmoba Solomon Seshoka
/person/susan-shabangu/,Susan Shabangu
/person/maliyakhe-lymon-shelembe/,Maliyakhe Lymon Shelembe
/person/marian-robin-shinn/,Marian Robin Shinn
/person/nyiko-floyd-shivambu/,Nyiko Floyd Shivambu
/person/sheila-coleen-nkhensani-shope-sithole/,Sheila Coleen Nkhensani Shope-Sithole
/person/mtikeni-patrick-sibande/,Mtikeni Patrick Sibande
/person/narend-singh/,Narend Singh
/person/lindiwe-nonceba-sisulu/,Lindiwe Sisulu
/person/khethamabala-petros-sithole/,Khethamabala Petros Sithole
/person/elvis-kholwana-siwela/,Elvis Kholwana Siwela
/person/phumelele-stone-sizani/,Phumelele Stone Sizani
/person/james-jim-skosana/,James Jim Skosana
/person/mcebisi-skwatsha/,Mcebisi Skwatsha
/person/vincent-george-smith/,Vincent George Smith
/person/nokulunga-primrose-sonti/,Nokulunga Primrose Sonti
/person/makhotso-magdeline-sotyu/,Maggie Sotyu
/person/terri-stander/,Terri Stander
/person/john-henry-steenhuisen/,John Henry Steenhuisen
/person/johanna-steenkamp/,Johanna Steenkamp
/person/annette-steyn/,Annette Steyn
/person/dirk-jan-stubbe/,Dirk Jan Stubbe
/person/mohamed-enver-surty/,Enver Surty
/person/steven-nicholas-swart/,Steven Nicholas Swart
/person/johanna-fredrika-juanita-terblanche/,Johanna Fredrika Terblanche
/person/elizabeth-thabethe/,Elizabeth Thabethe
/person/barbara-thomson/,Barbara Thomson
/person/sello-albert-tleane/,Sello Albert Tleane
/person/thandi-vivian-tobias/,Thandi Vivian Tobias
/person/xoliswa-tom/,Xoliswa Sandra Tom
/person/tshoganetso-mpho-adolphina-tongwane/,Tshoganetso Mpho Adolphina Tongwane
/person/grace-kekulu-tseke/,Grace Kekulu Tseke
/person/rembuluwani-moses-tseli/,Rembuluwani Moses Tseli
/person/solomon-lechesa-tsenoli/,Solomon Lechesa Tsenoli
/person/michael-malisa-tshishonga/,Michael Malisa Tshishonga
/person/pamela-tshwete/,Pam Tshwete
/person/sibongile-pearm-tsoleli/,Sibongile Pearm Tsoleli
/person/mantsheng-anna-tsopo/,Mantsheng Anna Tsopo
/person/dikeledi-rebecca-tsotetsi/,Dikeledi Rebecca Tsotetsi
/person/diliza-lucky-twala/,Diliza Lucky Twala
/person/heinrich-cyril-volmink/,Heinrich Cyril Volmink
/person/james-vos/,James Vos
/person/d-van-der-walt/,Désirée Van Der Walt
/person/thomas-walters/,Thomas Charles Ravenscroft Walters
